galaxy_id,selected,selection_rank,n_points,r_min_kpc,r_max_kpc,radial_coverage_kpc,v_obs_min_kms,v_obs_max_kms,median_v_err_kms,has_bulge,n_negative_residual_points,negative_residual_fraction,quality_flag,rejection_reason,data_source,data_mode
UGC11455,False,,36,0.62,41.93,41.31,35.1,291.0,7.025,False,29,0.8055555555555556,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC11557,False,,12,0.33,10.56,10.23,4.0,85.0,7.9,False,12,1.0,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC11820,False,,10,0.26,15.82,15.56,16.0,84.45,2.335,False,0,0.0,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
UGC11914,False,,65,0.28,9.83,9.55,168.0,305.0,7.94,True,62,0.9538461538461539,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC12506,False,,31,0.82,49.99,49.17,107.0,255.0,11.6,False,0,0.0,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC12632,False,,15,0.71,10.66,9.95,24.1,73.2,3.0,False,0,0.0,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGC12732,False,,16,0.96,15.4,14.440000000000001,34.2,98.0,3.4400000000000004,False,0,0.0,eligible_not_selected,,SPARC_Lelli2016,observational_raw_ingestion
UGCA281,False,,7,0.09,1.08,0.9900000000000001,7.0,29.5,1.59,False,0,0.0,rejected_quality,n_points<12;radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
UGCA442,False,,8,0.42,6.33,5.91,14.2,57.8,1.91,False,0,0.0,rejected_quality,n_points<12,SPARC_Lelli2016,observational_raw_ingestion
UGCA444,False,,36,0.12,2.62,2.5,6.48,38.3,3.645,False,0,0.0,rejected_quality,radial_coverage<=5.0,SPARC_Lelli2016,observational_raw_ingestion
